claim,evidence,label,claim_clean,evidence_clean,combined_text
Taking 400mg of α-tocopheryl acetate in combination with vitamin C reduces the risk of prostate cancer.,"CONCLUSIONS In this large, long-term trial of male physicians, neither vitamin E nor C supplementation reduced the risk of prostate or total cancer.",0,taking mg αtocopheryl acetate combination vitamin c reduces risk prostate cancer,conclusion large longterm trial male physician neither vitamin e c supplementation reduced risk prostate total cancer,taking mg αtocopheryl acetate combination vitamin c reduces risk prostate cancer conclusion large longterm trial male physician neither vitamin e c supplementation reduced risk prostate total cancer
Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,Aβ production in CSF was slowed by 37% in the citalopram group compared to placebo.,1,taking antidepresents associated decrease aβ level brain experimental animal,aβ production csf slowed citalopram group compared placebo,taking antidepresents associated decrease aβ level brain experimental animal aβ production csf slowed citalopram group compared placebo
Taxation of sugar-sweetened beverages reduced the incidence rate of type II diabetes in India.,"The 20% SSB tax was anticipated to reduce overweight and obesity prevalence by 3.0% (95% CI 1.6%-5.9%) and type 2 diabetes incidence by 1.6% (95% CI 1.2%-1.9%) among various Indian subpopulations over the period 2014-2023, if SSB consumption continued to increase linearly in accordance with secular trends.",1,taxation sugarsweetened beverage reduced incidence rate type ii diabetes india,ssb tax anticipated reduce overweight obesity prevalence ci type diabetes incidence ci among various indian subpopulation period ssb consumption continued increase linearly accordance secular trend,taxation sugarsweetened beverage reduced incidence rate type ii diabetes india ssb tax anticipated reduce overweight obesity prevalence ci type diabetes incidence ci among various indian subpopulation period ssb consumption continued increase linearly accordance secular trend
Taxation of sugar-sweetened beverages reduced the incidence rate of type II diabetes in India.,"However, acceleration in SSB consumption trends consistent with industry marketing models would be expected to increase the impact efficacy of taxation, averting 4.2% of prevalent overweight/obesity (95% CI 2.5-10.0%) and 2.5% (95% CI 1.0-2.8%) of incident type 2 diabetes from 2014-2023.",1,taxation sugarsweetened beverage reduced incidence rate type ii diabetes india,however acceleration ssb consumption trend consistent industry marketing model would expected increase impact efficacy taxation averting prevalent overweightobesity ci ci incident type diabetes,taxation sugarsweetened beverage reduced incidence rate type ii diabetes india however acceleration ssb consumption trend consistent industry marketing model would expected increase impact efficacy taxation averting prevalent overweightobesity ci ci incident type diabetes
Taxation of sugar-sweetened beverages reduced the incidence rate of type II diabetes in India.,CONCLUSION Sustained SSB taxation at a high tax rate could mitigate rising obesity and type 2 diabetes in India among both urban and rural subpopulations.,1,taxation sugarsweetened beverage reduced incidence rate type ii diabetes india,conclusion sustained ssb taxation high tax rate could mitigate rising obesity type diabetes india among urban rural subpopulation,taxation sugarsweetened beverage reduced incidence rate type ii diabetes india conclusion sustained ssb taxation high tax rate could mitigate rising obesity type diabetes india among urban rural subpopulation
Ten percent (10%) of kidney cancers in the UK are attributable to excess weight.,"Assuming causality, 41% of uterine and 10% or more of gallbladder, kidney, liver, and colon cancers could be attributable to excess weight.",1,ten percent kidney cancer uk attributable excess weight,assuming causality uterine gallbladder kidney liver colon cancer could attributable excess weight,ten percent kidney cancer uk attributable excess weight assuming causality uterine gallbladder kidney liver colon cancer could attributable excess weight
The C-type lectin receptor (CLEC-2) rearranges the actin cytoskeleton in dendritic cells to promote efficient motility along stromal surfaces.,CLEC-2 activation triggered cell spreading via downregulation of RhoA activity and myosin light-chain phosphorylation and triggered F-actin-rich protrusions via Vav signaling and Rac1 activation.,1,ctype lectin receptor clec rearranges actin cytoskeleton dendritic cell promote efficient motility along stromal surface,clec activation triggered cell spreading via downregulation rhoa activity myosin lightchain phosphorylation triggered factinrich protrusion via vav signaling rac activation,ctype lectin receptor clec rearranges actin cytoskeleton dendritic cell promote efficient motility along stromal surface clec activation triggered cell spreading via downregulation rhoa activity myosin lightchain phosphorylation triggered factinrich protrusion via vav signaling rac activation
The C-type lectin receptor (CLEC-2) rearranges the actin cytoskeleton in dendritic cells to promote efficient motility along stromal surfaces.,"Thus, activation of CLEC-2 by PDPN rearranges the actin cytoskeleton in DCs to promote efficient motility along stromal surfaces.",1,ctype lectin receptor clec rearranges actin cytoskeleton dendritic cell promote efficient motility along stromal surface,thus activation clec pdpn rearranges actin cytoskeleton dc promote efficient motility along stromal surface,ctype lectin receptor clec rearranges actin cytoskeleton dendritic cell promote efficient motility along stromal surface thus activation clec pdpn rearranges actin cytoskeleton dc promote efficient motility along stromal surface
The DESMOND program caused substantial weight loss in most participants.,"CONCLUSION A single programme for people with newly diagnosed type 2 diabetes mellitus showed no difference in biomedical or lifestyle outcomes at three years although there were sustained improvements in some illness beliefs.   
",0,desmond program caused substantial weight loss participant,conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief,desmond program caused substantial weight loss participant conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief
The DESMOND program demonstrates no significant impact on biochemical outcomes.,"After adjusting for baseline and cluster the difference was not significant (difference -0.02, 95% confidence interval -0.22 to 0.17).",1,desmond program demonstrates significant impact biochemical outcome,adjusting baseline cluster difference significant difference confidence interval,desmond program demonstrates significant impact biochemical outcome adjusting baseline cluster difference significant difference confidence interval
The DESMOND program demonstrates no significant impact on biochemical outcomes.,The groups did not differ for the other biomedical and lifestyle outcomes and drug use.,1,desmond program demonstrates significant impact biochemical outcome,group differ biomedical lifestyle outcome drug use,desmond program demonstrates significant impact biochemical outcome group differ biomedical lifestyle outcome drug use
The DESMOND program demonstrates no significant impact on biochemical outcomes.,"CONCLUSION A single programme for people with newly diagnosed type 2 diabetes mellitus showed no difference in biomedical or lifestyle outcomes at three years although there were sustained improvements in some illness beliefs.   
",1,desmond program demonstrates significant impact biochemical outcome,conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief,desmond program demonstrates significant impact biochemical outcome conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief
The DESMOND program demonstrates no significant impact on lifestyles outcomes.,"CONCLUSION A single programme for people with newly diagnosed type 2 diabetes mellitus showed no difference in biomedical or lifestyle outcomes at three years although there were sustained improvements in some illness beliefs.   
",1,desmond program demonstrates significant impact lifestyle outcome,conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief,desmond program demonstrates significant impact lifestyle outcome conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief
The DESMOND program demonstrates no significant impact on weight loss.,"CONCLUSION A single programme for people with newly diagnosed type 2 diabetes mellitus showed no difference in biomedical or lifestyle outcomes at three years although there were sustained improvements in some illness beliefs.   
",1,desmond program demonstrates significant impact weight loss,conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief,desmond program demonstrates significant impact weight loss conclusion single programme people newly diagnosed type diabetes mellitus showed difference biomedical lifestyle outcome three year although sustained improvement illness belief
The DEXI promoter region is bound by multiple transcription factors in a murine haematopoietic progenitor cell line.,,0,dexi promoter region bound multiple transcription factor murine haematopoietic progenitor cell line,,dexi promoter region bound multiple transcription factor murine haematopoietic progenitor cell line 
The DdrB protein from Deinococcus radiodurans functions as a pentamer.,DdrB forms a pentameric ring capable of binding single-stranded but not double-stranded DNA.,1,ddrb protein deinococcus radiodurans function pentamer,ddrb form pentameric ring capable binding singlestranded doublestranded dna,ddrb protein deinococcus radiodurans function pentamer ddrb form pentameric ring capable binding singlestranded doublestranded dna
The G34R/V mutation creates a hypomethylated phenotype at the H3K36 histone.,,0,grv mutation creates hypomethylated phenotype hk histone,,grv mutation creates hypomethylated phenotype hk histone 
The G34R/V mutation does not create a hypomethylated phenotype at the H3K36 histone.,,0,grv mutation create hypomethylated phenotype hk histone,,grv mutation create hypomethylated phenotype hk histone 
The H2A-H2B eviction defect is compensated for by other histone chaperone(s).,,0,hahb eviction defect compensated histone chaperone,,hahb eviction defect compensated histone chaperone 
The HSV-2 infection is typically asymptomatic.,,0,hsv infection typically asymptomatic,,hsv infection typically asymptomatic 
The M2-phenotype in brown adipose tissue macrophages increases brown adipose tissue thermogenic activity.,"Exposure to cold temperature rapidly promoted alternative activation of adipose tissue macrophages, which secrete catecholamines to induce thermogenic gene expression in brown adipose tissue and lipolysis in white adipose tissue.",1,mphenotype brown adipose tissue macrophage increase brown adipose tissue thermogenic activity,exposure cold temperature rapidly promoted alternative activation adipose tissue macrophage secrete catecholamine induce thermogenic gene expression brown adipose tissue lipolysis white adipose tissue,mphenotype brown adipose tissue macrophage increase brown adipose tissue thermogenic activity exposure cold temperature rapidly promoted alternative activation adipose tissue macrophage secrete catecholamine induce thermogenic gene expression brown adipose tissue lipolysis white adipose tissue
The M2-phenotype in brown adipose tissue macrophages increases brown adipose tissue thermogenic activity.,"Absence of alternatively activated macrophages impaired metabolic adaptations to cold, whereas administration of IL-4 increased thermogenic gene expression, fatty acid mobilization and energy expenditure, all in a macrophage-dependent manner.",1,mphenotype brown adipose tissue macrophage increase brown adipose tissue thermogenic activity,absence alternatively activated macrophage impaired metabolic adaptation cold whereas administration il increased thermogenic gene expression fatty acid mobilization energy expenditure macrophagedependent manner,mphenotype brown adipose tissue macrophage increase brown adipose tissue thermogenic activity absence alternatively activated macrophage impaired metabolic adaptation cold whereas administration il increased thermogenic gene expression fatty acid mobilization energy expenditure macrophagedependent manner
The NF-κB essential modulator gene induces intestinal inflammation by promoting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,"Inhibition of receptor-interacting protein kinase 1 (RIPK1) kinase activity or combined deficiency of Fas-associated via death domain protein (FADD) and RIPK3 prevented epithelial cell death, Paneth cell loss, and colitis development in mice with epithelial NEMO deficiency.",0,nfκb essential modulator gene induces intestinal inflammation promoting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death,inhibition receptorinteracting protein kinase ripk kinase activity combined deficiency fasassociated via death domain protein fadd ripk prevented epithelial cell death paneth cell loss colitis development mouse epithelial nemo deficiency,nfκb essential modulator gene induces intestinal inflammation promoting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death inhibition receptorinteracting protein kinase ripk kinase activity combined deficiency fasassociated via death domain protein fadd ripk prevented epithelial cell death paneth cell loss colitis development mouse epithelial nemo deficiency
The NF-κB essential modulator gene induces intestinal inflammation by promoting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,"Therefore, NEMO prevents intestinal inflammation by inhibiting RIPK1 kinase activity-mediated IEC death, suggesting that RIPK1 inhibitors could be effective in the treatment of colitis in patients with NEMO mutations and possibly in IBD.",0,nfκb essential modulator gene induces intestinal inflammation promoting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death,therefore nemo prevents intestinal inflammation inhibiting ripk kinase activitymediated iec death suggesting ripk inhibitor could effective treatment colitis patient nemo mutation possibly ibd,nfκb essential modulator gene induces intestinal inflammation promoting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death therefore nemo prevents intestinal inflammation inhibiting ripk kinase activitymediated iec death suggesting ripk inhibitor could effective treatment colitis patient nemo mutation possibly ibd
The NF-κB essential modulator gene prevents intestinal inflammation by inhibiting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,"Inhibition of receptor-interacting protein kinase 1 (RIPK1) kinase activity or combined deficiency of Fas-associated via death domain protein (FADD) and RIPK3 prevented epithelial cell death, Paneth cell loss, and colitis development in mice with epithelial NEMO deficiency.",1,nfκb essential modulator gene prevents intestinal inflammation inhibiting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death,inhibition receptorinteracting protein kinase ripk kinase activity combined deficiency fasassociated via death domain protein fadd ripk prevented epithelial cell death paneth cell loss colitis development mouse epithelial nemo deficiency,nfκb essential modulator gene prevents intestinal inflammation inhibiting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death inhibition receptorinteracting protein kinase ripk kinase activity combined deficiency fasassociated via death domain protein fadd ripk prevented epithelial cell death paneth cell loss colitis development mouse epithelial nemo deficiency
The NF-κB essential modulator gene prevents intestinal inflammation by inhibiting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,"Therefore, NEMO prevents intestinal inflammation by inhibiting RIPK1 kinase activity-mediated IEC death, suggesting that RIPK1 inhibitors could be effective in the treatment of colitis in patients with NEMO mutations and possibly in IBD.",1,nfκb essential modulator gene prevents intestinal inflammation inhibiting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death,therefore nemo prevents intestinal inflammation inhibiting ripk kinase activitymediated iec death suggesting ripk inhibitor could effective treatment colitis patient nemo mutation possibly ibd,nfκb essential modulator gene prevents intestinal inflammation inhibiting receptorinteracting protein rip kinase kinase activitymediated epithelial cell death therefore nemo prevents intestinal inflammation inhibiting ripk kinase activitymediated iec death suggesting ripk inhibitor could effective treatment colitis patient nemo mutation possibly ibd
The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,"PDPN is expressed by lymphatic endothelial and fibroblastic reticular cells and promotes blood-lymph separation during development by activating the C-type lectin receptor, CLEC-2, on platelets.",0,pdpn gene deactivates ctype lectin receptor clec,pdpn expressed lymphatic endothelial fibroblastic reticular cell promotes bloodlymph separation development activating ctype lectin receptor clec platelet,pdpn gene deactivates ctype lectin receptor clec pdpn expressed lymphatic endothelial fibroblastic reticular cell promotes bloodlymph separation development activating ctype lectin receptor clec platelet
The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,"Thus, activation of CLEC-2 by PDPN rearranges the actin cytoskeleton in DCs to promote efficient motility along stromal surfaces.",0,pdpn gene deactivates ctype lectin receptor clec,thus activation clec pdpn rearranges actin cytoskeleton dc promote efficient motility along stromal surface,pdpn gene deactivates ctype lectin receptor clec thus activation clec pdpn rearranges actin cytoskeleton dc promote efficient motility along stromal surface
The PPR MDA5 has twenty N-terminal CARD domains.,,0,ppr mda twenty nterminal card domain,,ppr mda twenty nterminal card domain 
The PRDM1 gene is a key determinant of primordial germ cells.,"Blimp1 (Prdm1), the key determinant of primordial germ cells (PGCs), plays a combinatorial role with Prdm14 during PGC specification from postimplantation epiblast cells.",1,prdm gene key determinant primordial germ cell,blimp prdm key determinant primordial germ cell pgcs play combinatorial role prdm pgc specification postimplantation epiblast cell,prdm gene key determinant primordial germ cell blimp prdm key determinant primordial germ cell pgcs play combinatorial role prdm pgc specification postimplantation epiblast cell
"The PRDM1 gene, when combined with the PRDM14 gene, plays an important role during primordial germ cell specification.","Blimp1 (Prdm1), the key determinant of primordial germ cells (PGCs), plays a combinatorial role with Prdm14 during PGC specification from postimplantation epiblast cells.",1,prdm gene combined prdm gene play important role primordial germ cell specification,blimp prdm key determinant primordial germ cell pgcs play combinatorial role prdm pgc specification postimplantation epiblast cell,prdm gene combined prdm gene play important role primordial germ cell specification blimp prdm key determinant primordial germ cell pgcs play combinatorial role prdm pgc specification postimplantation epiblast cell
The PRR MDA5 has a C-terminal domain.,,0,prr mda cterminal domain,,prr mda cterminal domain 
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"Here we showed that emergence of the first cohorts of Aire(+) mTECs at this key developmental stage, prior to αβ T cell repertoire selection, was jointly directed by Rankl(+) lymphoid tissue inducer cells and invariant Vγ5(+) dendritic epidermal T cell (DETC) progenitors that are the first thymocytes to express the products of gene rearrangement.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,showed emergence first cohort aire mtecs key developmental stage prior αβ cell repertoire selection jointly directed rankl lymphoid tissue inducer cell invariant vγ dendritic epidermal cell detc progenitor first thymocytes express product gene rearrangement,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs showed emergence first cohort aire mtecs key developmental stage prior αβ cell repertoire selection jointly directed rankl lymphoid tissue inducer cell invariant vγ dendritic epidermal cell detc progenitor first thymocytes express product gene rearrangement
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"Hence, our data attributed a functional importance to the temporal development of Vγ5(+) γδ T cells during thymus medulla formation for αβ T cell tolerance induction and demonstrated a Rank-mediated reciprocal link between DETC and Aire(+) mTEC maturation.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,hence data attributed functional importance temporal development vγ γδ cell thymus medulla formation αβ cell tolerance induction demonstrated rankmediated reciprocal link detc aire mtec maturation,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs hence data attributed functional importance temporal development vγ γδ cell thymus medulla formation αβ cell tolerance induction demonstrated rankmediated reciprocal link detc aire mtec maturation
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"Here, we demonstrate crucial regulation of mTEC development by receptor activator of NF-kappaB (RANK) and CD40 signals.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,demonstrate crucial regulation mtec development receptor activator nfkappab rank cd signal,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs demonstrate crucial regulation mtec development receptor activator nfkappab rank cd signal
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"Whereas only RANK signaling was essential for mTEC development during embryogenesis, in postnatal mice, cooperation between CD40 and RANK signals was required for mTEC development to successfully establish the medullary microenvironment.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,whereas rank signaling essential mtec development embryogenesis postnatal mouse cooperation cd rank signal required mtec development successfully establish medullary microenvironment,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs whereas rank signaling essential mtec development embryogenesis postnatal mouse cooperation cd rank signal required mtec development successfully establish medullary microenvironment
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"Ligation of RANK or CD40 on fetal thymic stroma in vitro induced mTEC development in a tumor necrosis factor-associated factor 6 (TRAF6)-, NF-kappaB inducing kinase (NIK)-, and IkappaB kinase beta (IKKbeta)-dependent manner.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,ligation rank cd fetal thymic stroma vitro induced mtec development tumor necrosis factorassociated factor traf nfkappab inducing kinase nik ikappab kinase beta ikkbetadependent manner,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs ligation rank cd fetal thymic stroma vitro induced mtec development tumor necrosis factorassociated factor traf nfkappab inducing kinase nik ikappab kinase beta ikkbetadependent manner
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"These results show that developmental-stage-dependent cooperation between RANK and CD40 promotes mTEC development, thereby establishing self-tolerance.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,result show developmentalstagedependent cooperation rank cd promotes mtec development thereby establishing selftolerance,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs result show developmentalstagedependent cooperation rank cd promotes mtec development thereby establishing selftolerance
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,Here we show that the cytokine RANK ligand (RANKL) was produced by positively selected thymocytes and regulated the cellularity of mTEC by interacting with RANK and osteoprotegerin.,1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,show cytokine rank ligand rankl produced positively selected thymocytes regulated cellularity mtec interacting rank osteoprotegerin,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs show cytokine rank ligand rankl produced positively selected thymocytes regulated cellularity mtec interacting rank osteoprotegerin
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"We show that RANKL signals from this cell promote the maturation of RANK-expressing CD80−Aire− mTEC progenitors into CD80+Aire+ mTECs, and that transplantation of RANK-deficient thymic stroma into immunodeficient hosts induces autoimmunity.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,show rankl signal cell promote maturation rankexpressing cdaire mtec progenitor cdaire mtecs transplantation rankdeficient thymic stroma immunodeficient host induces autoimmunity,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs show rankl signal cell promote maturation rankexpressing cdaire mtec progenitor cdaire mtecs transplantation rankdeficient thymic stroma immunodeficient host induces autoimmunity
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,"Collectively, our data reveal cellular and molecular mechanisms leading to the generation of Aire+ mTECs and highlight a previously unrecognized role for CD4+3−RANKL+ inducer cells in intrathymic self-tolerance.",1,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs,collectively data reveal cellular molecular mechanism leading generation aire mtecs highlight previously unrecognized role cdrankl inducer cell intrathymic selftolerance,rankrankligand rankl pathway involved development aireexpressing medullary thymic epithelial cell mtecs collectively data reveal cellular molecular mechanism leading generation aire mtecs highlight previously unrecognized role cdrankl inducer cell intrathymic selftolerance
The Snf1 complex regulates carbon and energy metabolism in baker's yeast (Saccharomyces cerevisiae).,"We for the first time identified Snf1's global regulation on gene and protein expression levels, and showed that yeast Snf1 has a far more extensive function in controlling energy metabolism than reported earlier.",1,snf complex regulates carbon energy metabolism baker yeast saccharomyces cerevisiae,first time identified snfs global regulation gene protein expression level showed yeast snf far extensive function controlling energy metabolism reported earlier,snf complex regulates carbon energy metabolism baker yeast saccharomyces cerevisiae first time identified snfs global regulation gene protein expression level showed yeast snf far extensive function controlling energy metabolism reported earlier
The TRaF1/C5 rs10818488 allele polymorphism regulates the neighboring C5 gene.,,0,trafc r allele polymorphism regulates neighboring c gene,,trafc r allele polymorphism regulates neighboring c gene 
The US health care system can save up to $5 billion if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,"Even if only 7% of patients awaiting kidney transplantation participated in an optimized national KPD program, the health care system could save as much as $750 million.   
",0,u health care system save billion patient waiting kidney transplant participate optimized national kidney paired donation program,even patient awaiting kidney transplantation participated optimized national kpd program health care system could save much million,u health care system save billion patient waiting kidney transplant participate optimized national kidney paired donation program even patient awaiting kidney transplantation participated optimized national kpd program health care system could save much million
The World Health Organization's (WHO) data collection process is biased downward by unequal selection of larger outbreaks.,,0,world health organization data collection process biased downward unequal selection larger outbreak,,world health organization data collection process biased downward unequal selection larger outbreak 
The ability of activator E2Fs in preventing cell death is limited to terminally differentiated cells.,,0,ability activator efs preventing cell death limited terminally differentiated cell,,ability activator efs preventing cell death limited terminally differentiated cell 
The amount of publicly available DNA data doubles every 10 months.,,0,amount publicly available dna data double every month,,amount publicly available dna data double every month 
"The appearance of brown-like or beige cells primarily occurs in visceral fat, not subcutaneous fat.",,0,appearance brownlike beige cell primarily occurs visceral fat subcutaneous fat,,appearance brownlike beige cell primarily occurs visceral fat subcutaneous fat 
The artifactual C-terminal helix swapping in the StART domain is observed in the Ups1-Mdm35 heterodimer of the StARkin superfamily.,,0,artifactual cterminal helix swapping start domain observed upsmdm heterodimer starkin superfamily,,artifactual cterminal helix swapping start domain observed upsmdm heterodimer starkin superfamily 
The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,Addition of CRP at the optimal cut off of >30 mg/L increased the ROC area to 0.77 (0.73 to 0.81) and improved the diagnostic classification (net reclassification improvement 28%).,0,combination physical examination creactive protein value improve accuracy radiographic verified pneumonia prediction,addition crp optimal cut mgl increased roc area improved diagnostic classification net reclassification improvement,combination physical examination creactive protein value improve accuracy radiographic verified pneumonia prediction addition crp optimal cut mgl increased roc area improved diagnostic classification net reclassification improvement
The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,"Addition of CRP concentration at the optimal cut off of >30 mg/L improved diagnostic information, but measurement of procalcitonin concentration did not add clinically relevant information in this group.",0,combination physical examination creactive protein value improve accuracy radiographic verified pneumonia prediction,addition crp concentration optimal cut mgl improved diagnostic information measurement procalcitonin concentration add clinically relevant information group,combination physical examination creactive protein value improve accuracy radiographic verified pneumonia prediction addition crp concentration optimal cut mgl improved diagnostic information measurement procalcitonin concentration add clinically relevant information group
The composition of myosin-II isoform switches from the A isoform to the B isoform during hematopoietic differentiation.,,0,composition myosinii isoform switch isoform b isoform hematopoietic differentiation,,composition myosinii isoform switch isoform b isoform hematopoietic differentiation 
The cytokine receptor which regulates chemotaxis and formation of lymph nodes is involved in production of myeloperoxidase in the left atrium.,,0,cytokine receptor regulates chemotaxis formation lymph node involved production myeloperoxidase left atrium,,cytokine receptor regulates chemotaxis formation lymph node involved production myeloperoxidase left atrium 
The deamination of cytidine to uridine on the minus strand of viral DNA can inactivate the viral genome by inducing G-to-A mutations.,"APOBEC3G is closely related to APOBEC1, the central component of an RNA-editing complex that deaminates a cytosine residue in apoB messenger RNA.",1,deamination cytidine uridine minus strand viral dna inactivate viral genome inducing gtoa mutation,apobecg closely related apobec central component rnaediting complex deaminates cytosine residue apob messenger rna,deamination cytidine uridine minus strand viral dna inactivate viral genome inducing gtoa mutation apobecg closely related apobec central component rnaediting complex deaminates cytosine residue apob messenger rna
The deamination of cytidine to uridine on the minus strand of viral DNA can inactivate the viral genome by inducing G-to-A mutations.,"Here, we demonstrate that it does, as APOBEC3G exerts its antiviral effect during reverse transcription to trigger G-to-A hypermutation in the nascent retroviral DNA.",1,deamination cytidine uridine minus strand viral dna inactivate viral genome inducing gtoa mutation,demonstrate apobecg exerts antiviral effect reverse transcription trigger gtoa hypermutation nascent retroviral dna,deamination cytidine uridine minus strand viral dna inactivate viral genome inducing gtoa mutation demonstrate apobecg exerts antiviral effect reverse transcription trigger gtoa hypermutation nascent retroviral dna
The density of cytokine receptor bearing cells affects the distance over which cytokines act.,"HighlightsCytokine penetration in tissues is governed by a diffusion‐consumption mechanismSpherical cytokine niches are generated around cytokine‐producing cellsThe characteristic niche size depends on the density of cytokine consumersCytokine niches are a source of variability in otherwise identical cells &NA; Cytokine‐mediated communication allows immune cells to achieve a context‐appropriate response, but the distance over which this communication happens is unclear.",1,density cytokine receptor bearing cell affect distance cytokine act,highlightscytokine penetration tissue governed diffusionconsumption mechanismspherical cytokine niche generated around cytokineproducing cellsthe characteristic niche size depends density cytokine consumerscytokine niche source variability otherwise identical cell na cytokinemediated communication allows immune cell achieve contextappropriate response distance communication happens unclear,density cytokine receptor bearing cell affect distance cytokine act highlightscytokine penetration tissue governed diffusionconsumption mechanismspherical cytokine niche generated around cytokineproducing cellsthe characteristic niche size depends density cytokine consumerscytokine niche source variability otherwise identical cell na cytokinemediated communication allows immune cell achieve contextappropriate response distance communication happens unclear
The density of cytokine receptor bearing cells has no effect on the distance over which cytokines act.,"HighlightsCytokine penetration in tissues is governed by a diffusion‐consumption mechanismSpherical cytokine niches are generated around cytokine‐producing cellsThe characteristic niche size depends on the density of cytokine consumersCytokine niches are a source of variability in otherwise identical cells &NA; Cytokine‐mediated communication allows immune cells to achieve a context‐appropriate response, but the distance over which this communication happens is unclear.",0,density cytokine receptor bearing cell effect distance cytokine act,highlightscytokine penetration tissue governed diffusionconsumption mechanismspherical cytokine niche generated around cytokineproducing cellsthe characteristic niche size depends density cytokine consumerscytokine niche source variability otherwise identical cell na cytokinemediated communication allows immune cell achieve contextappropriate response distance communication happens unclear,density cytokine receptor bearing cell effect distance cytokine act highlightscytokine penetration tissue governed diffusionconsumption mechanismspherical cytokine niche generated around cytokineproducing cellsthe characteristic niche size depends density cytokine consumerscytokine niche source variability otherwise identical cell na cytokinemediated communication allows immune cell achieve contextappropriate response distance communication happens unclear
The deregulated and prolonged activation of monocytes has deleterious effects in chronic infectious conditions.,,0,deregulated prolonged activation monocyte deleterious effect chronic infectious condition,,deregulated prolonged activation monocyte deleterious effect chronic infectious condition 
